** Analysing add(key, value) speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,1
small-town.txt,44892,1000,1
town.txt,451617,10000,11
large-town.txt,2255053,50000,66
city.txt,4511688,100000,165
large-city.txt,22554540,500000,1179
metropolis.txt,45107513,1000000,2440
capital.txt,90209834,2000000,5535
megalopolis.txt,227564229,5000000,17123
Hashtable:
village.txt,4561,100,1
small-town.txt,44892,1000,3
town.txt,451617,10000,15
large-town.txt,2255053,50000,63
city.txt,4511688,100000,187
large-city.txt,22554540,500000,832
metropolis.txt,45107513,1000000,2153
capital.txt,90209834,2000000,4232
megalopolis.txt,227564229,5000000,10815
