** Analysing toSortedArray() speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,3
small-town.txt,44892,1000,7
town.txt,451617,10000,46
large-town.txt,2255053,50000,249
city.txt,4511688,100000,425
large-city.txt,22554540,500000,2543
metropolis.txt,45107513,1000000,6382
capital.txt,90209834,2000000,19414
Hashtable:
village.txt,4561,100,1
small-town.txt,44892,1000,2
town.txt,451617,10000,24
large-town.txt,2255053,50000,217
city.txt,4511688,100000,420
large-city.txt,22554540,500000,3062
metropolis.txt,45107513,1000000,11040
capital.txt,90209834,2000000,18688
